index,iteration,max_attempts,population,fitness,runtime
0,100,10,100,17.0,0.09902667999267578
1,100,10,500,71.0,2.195491313934326
2,100,10,1000,87.0,5.0581324100494385
3,100,25,100,45.0,0.3540792465209961
4,100,25,500,71.0,2.345524549484253
5,100,25,1000,88.0,4.990117311477661
6,100,50,100,22.0,0.2520568370819092
7,100,50,500,76.0,2.3355231285095215
8,100,50,1000,79.0,5.294185161590576
9,200,10,100,23.0,0.13302993774414062
10,200,10,500,77.0,2.925654888153076
11,200,10,1000,37.0,1.3543026447296143
12,200,25,100,23.0,0.19004249572753906
13,200,25,500,81.0,3.7408370971679688
14,200,25,1000,134.0,10.926445960998535
15,200,50,100,24.0,0.3560795783996582
16,200,50,500,115.0,5.6262593269348145
17,200,50,1000,132.0,12.250096559524536
18,300,10,100,21.0,0.13102936744689941
19,300,10,500,64.0,2.0854666233062744
20,300,10,1000,121.0,8.67094111442566
21,300,25,100,18.0,0.1580357551574707
22,300,25,500,102.0,4.3959832191467285
23,300,25,1000,147.0,13.615047693252563
24,300,50,100,19.0,0.24305367469787598
25,300,50,500,121.0,6.10736608505249
26,300,50,1000,166.0,17.190847635269165
27,400,10,100,11.0,0.04600977897644043
28,400,10,500,77.0,2.7926251888275146
29,400,10,1000,111.0,7.67871880531311
30,400,25,100,25.0,0.18404126167297363
31,400,25,500,106.0,4.274956464767456
32,400,25,1000,119.0,11.737626791000366
33,400,50,100,29.0,0.470104455947876
34,400,50,500,78.0,4.684048652648926
35,400,50,1000,231.0,29.312562227249146
36,500,10,100,28.0,0.16803741455078125
37,500,10,500,54.0,1.3663051128387451
38,500,10,1000,160.0,15.024363040924072
39,500,25,100,31.0,0.21704864501953125
40,500,25,500,82.0,3.024677038192749
41,500,25,1000,85.0,7.084584951400757
42,500,50,100,22.0,0.2830634117126465
43,500,50,500,104.0,10.061251163482666
44,500,50,1000,195.0,22.54604744911194
45,600,10,100,16.0,0.0800175666809082
46,600,10,500,35.0,0.8611922264099121
47,600,10,1000,141.0,12.007687091827393
48,600,25,100,19.0,0.12802839279174805
49,600,25,500,51.0,1.954437255859375
50,600,25,1000,165.0,17.660953760147095
51,600,50,100,35.0,0.4140927791595459
52,600,50,500,99.0,5.614256381988525
53,600,50,1000,282.0,38.12779188156128
54,700,10,100,20.0,0.10202288627624512
55,700,10,500,75.0,2.383533239364624
56,700,10,1000,199.0,16.872776985168457
57,700,25,100,35.0,0.3940887451171875
58,700,25,500,122.0,7.1435980796813965
59,700,25,1000,150.0,13.835097074508667
60,700,50,100,34.0,0.32807350158691406
61,700,50,500,76.0,4.095915794372559
62,700,50,1000,258.0,44.717010498046875
63,800,10,100,21.0,0.08801937103271484
64,800,10,500,58.0,1.236276626586914
65,800,10,1000,88.0,5.650265216827393
66,800,25,100,17.0,0.1690380573272705
67,800,25,500,101.0,5.485228538513184
68,800,25,1000,126.0,12.196730613708496
69,800,50,100,26.0,0.3320746421813965
70,800,50,500,104.0,10.086257696151733
71,800,50,1000,227.0,41.73334312438965
72,900,10,100,12.0,0.06501388549804688
73,900,10,500,88.0,3.3967604637145996
74,900,10,1000,79.0,5.007120370864868
75,900,25,100,22.0,0.22304987907409668
76,900,25,500,92.0,3.3637540340423584
77,900,25,1000,214.0,33.45274472236633
78,900,50,100,31.0,0.3560791015625
79,900,50,500,116.0,6.980562210083008
80,900,50,1000,180.0,27.834230184555054
81,1000,10,100,13.0,0.04901123046875
82,1000,10,500,96.0,3.7098307609558105
83,1000,10,1000,96.0,5.522236347198486
84,1000,25,100,30.0,0.3110690116882324
85,1000,25,500,126.0,5.394207715988159
86,1000,25,1000,208.0,19.694408893585205
87,1000,50,100,29.0,0.378084659576416
88,1000,50,500,70.0,3.3467490673065186
89,1000,50,1000,202.0,32.82334780693054
