,iteration,max_attempts,restart,fitness,runtime
0,100,10,0,0.0,0.0010001659393310547
1,100,10,5,3.0,0.00099945068359375
2,100,10,10,4.0,0.0010004043579101562
3,100,25,0,1.0,0.0009999275207519531
4,100,25,5,3.0,0.0020003318786621094
5,100,25,10,7.0,0.0030002593994140625
6,100,50,0,0.0,0.0009992122650146484
7,100,50,5,4.0,0.002000093460083008
8,100,50,10,7.0,0.004000663757324219
9,200,10,0,1.0,0.0
10,200,10,5,11.0,0.0010004043579101562
11,200,10,10,7.0,0.0009996891021728516
12,200,25,0,0.0,0.0009996891021728516
13,200,25,5,4.0,0.0009999275207519531
14,200,25,10,6.0,0.0020003318786621094
15,200,50,0,2.0,0.0010001659393310547
16,200,50,5,3.0,0.002000093460083008
17,200,50,10,4.0,0.0050008296966552734
18,300,10,0,1.0,0.0010001659393310547
19,300,10,5,3.0,0.0010001659393310547
20,300,10,10,6.0,0.0009999275207519531
21,300,25,0,2.0,0.0
22,300,25,5,3.0,0.002000570297241211
23,300,25,10,3.0,0.0020003318786621094
24,300,50,0,6.0,0.0
25,300,50,5,5.0,0.0029997825622558594
26,300,50,10,3.0,0.004000663757324219
27,400,10,0,4.0,0.0009999275207519531
28,400,10,5,7.0,0.0
29,400,10,10,4.0,0.0010001659393310547
30,400,25,0,5.0,0.0
31,400,25,5,4.0,0.0010004043579101562
32,400,25,10,5.0,0.002000093460083008
33,400,50,0,3.0,0.0010001659393310547
34,400,50,5,2.0,0.0030002593994140625
35,400,50,10,3.0,0.00400090217590332
36,500,10,0,1.0,0.0010004043579101562
37,500,10,5,1.0,0.0
38,500,10,10,5.0,0.0010008811950683594
39,500,25,0,2.0,0.0
40,500,25,5,3.0,0.002000093460083008
41,500,25,10,3.0,0.0020003318786621094
42,500,50,0,3.0,0.0
43,500,50,5,2.0,0.0030007362365722656
44,500,50,10,5.0,0.004000663757324219
45,600,10,0,0.0,0.0
46,600,10,5,5.0,0.0
47,600,10,10,7.0,0.00099945068359375
48,600,25,0,1.0,0.0009992122650146484
49,600,25,5,4.0,0.002000093460083008
50,600,25,10,3.0,0.003000497817993164
51,600,50,0,2.0,0.0
52,600,50,5,5.0,0.0020003318786621094
53,600,50,10,8.0,0.004000425338745117
54,700,10,0,0.0,0.0009999275207519531
55,700,10,5,5.0,0.00099945068359375
56,700,10,10,4.0,0.0010001659393310547
57,700,25,0,0.0,0.0
58,700,25,5,8.0,0.0010001659393310547
59,700,25,10,4.0,0.0020003318786621094
60,700,50,0,2.0,0.0
61,700,50,5,9.0,0.003000020980834961
62,700,50,10,4.0,0.006000518798828125
63,800,10,0,1.0,0.0010004043579101562
64,800,10,5,4.0,0.0010001659393310547
65,800,10,10,6.0,0.0020003318786621094
66,800,25,0,2.0,0.0
67,800,25,5,4.0,0.002000093460083008
68,800,25,10,3.0,0.003000974655151367
69,800,50,0,1.0,0.0010001659393310547
70,800,50,5,6.0,0.002000570297241211
71,800,50,10,4.0,0.00500035285949707
72,900,10,0,0.0,0.0
73,900,10,5,4.0,0.0010001659393310547
74,900,10,10,2.0,0.0009999275207519531
75,900,25,0,0.0,0.0010001659393310547
76,900,25,5,6.0,0.0019998550415039062
77,900,25,10,2.0,0.0019998550415039062
78,900,50,0,4.0,0.0010004043579101562
79,900,50,5,4.0,0.0020003318786621094
80,900,50,10,4.0,0.0050008296966552734
81,1000,10,0,4.0,0.0
82,1000,10,5,5.0,0.0009999275207519531
83,1000,10,10,6.0,0.0009999275207519531
84,1000,25,0,3.0,0.0
85,1000,25,5,2.0,0.0009996891021728516
86,1000,25,10,3.0,0.0020008087158203125
87,1000,50,0,1.0,0.0
88,1000,50,5,4.0,0.003000974655151367
89,1000,50,10,2.0,0.004000663757324219
