index,iteration,max_attempts,restart,fitness,runtime
0,100,10,0,132.75697725676133,0.03400850296020508
1,100,10,5,141.43700267306275,0.02400517463684082
2,100,10,10,146.29379311132587,0.05101180076599121
3,100,25,0,141.53278419186756,0.0060007572174072266
4,100,25,5,143.6107529830344,0.038008689880371094
5,100,25,10,145.99708243172003,0.07101607322692871
6,100,50,0,144.49252616258923,0.0060002803802490234
7,100,50,5,145.9151012996924,0.03800845146179199
8,100,50,10,147.47317365463417,0.0690155029296875
9,200,10,0,140.85517420888812,0.006001710891723633
10,200,10,5,139.2298507066888,0.021004199981689453
11,200,10,10,143.46539912971224,0.04500985145568848
12,200,25,0,141.03202206300492,0.009002447128295898
13,200,25,5,150.31175476481525,0.08860301971435547
14,200,25,10,150.87591997835418,0.13202953338623047
15,200,50,0,146.20411103001555,0.021004199981689453
16,200,50,5,149.16244094634962,0.08201813697814941
17,200,50,10,151.75939430772343,0.1360301971435547
18,300,10,0,144.52389658970975,0.005001068115234375
19,300,10,5,145.54917571375486,0.028006315231323242
20,300,10,10,145.8844534488158,0.04601097106933594
21,300,25,0,150.59599246198894,0.018003463745117188
22,300,25,5,152.12249825985995,0.09102058410644531
23,300,25,10,150.16381192577498,0.15903568267822266
24,300,50,0,150.12287476487413,0.018004417419433594
25,300,50,5,151.95193678085187,0.10802268981933594
26,300,50,10,152.03676579496098,0.19904470443725586
27,400,10,0,140.09858373680092,0.0070018768310546875
28,400,10,5,143.9022629819617,0.028006553649902344
29,400,10,10,146.79534268408318,0.0580136775970459
30,400,25,0,149.92787103849827,0.023005247116088867
31,400,25,5,153.4018477975338,0.07901763916015625
32,400,25,10,151.5103618145325,0.15003323554992676
33,400,50,0,151.67912925608607,0.024005889892578125
34,400,50,5,152.75349877941792,0.12202763557434082
35,400,50,10,152.6825027222123,0.24405598640441895
36,500,10,0,141.43924347509753,0.007000923156738281
37,500,10,5,145.03939011850193,0.021004438400268555
38,500,10,10,145.68661360349535,0.046009063720703125
39,500,25,0,147.32489879320306,0.01300191879272461
40,500,25,5,150.8927925673489,0.08201813697814941
41,500,25,10,152.44265526800933,0.15003252029418945
42,500,50,0,152.72310014333215,0.017003774642944336
43,500,50,5,153.74260935246826,0.17203688621520996
44,500,50,10,154.9719030013323,0.28406286239624023
45,600,10,0,135.94781829181187,0.003000497817993164
46,600,10,5,141.07222136360315,0.028005123138427734
47,600,10,10,144.6784893417222,0.05301189422607422
48,600,25,0,148.03648035875827,0.017004013061523438
49,600,25,5,153.44644118751202,0.09102034568786621
50,600,25,10,148.74888070435395,0.1380305290222168
51,600,50,0,152.99997386238488,0.027006864547729492
52,600,50,5,154.05633574514948,0.1600360870361328
53,600,50,10,152.87241998218377,0.29506611824035645
54,700,10,0,139.89500523378075,0.005000591278076172
55,700,10,5,147.39501514628867,0.030005693435668945
56,700,10,10,144.3776834403425,0.04701089859008789
57,700,25,0,149.20461065214687,0.01700425148010254
58,700,25,5,149.31975038674696,0.07401680946350098
59,700,25,10,149.45253652381655,0.127028226852417
60,700,50,0,149.576215082982,0.02500605583190918
61,700,50,5,154.32464885115266,0.17603754997253418
62,700,50,10,154.89303916353953,0.360241174697876
63,800,10,0,138.57310648342988,0.0055065155029296875
64,800,10,5,146.4021357211269,0.021004676818847656
65,800,10,10,145.26853500164785,0.04700946807861328
66,800,25,0,154.0830443023759,0.02300548553466797
67,800,25,5,152.10303871826272,0.07404422760009766
68,800,25,10,151.68420590940545,0.11302447319030762
69,800,50,0,152.6050776701246,0.03101038932800293
70,800,50,5,154.53104107503313,0.17304182052612305
71,800,50,10,154.94733689927017,0.33568859100341797
72,900,10,0,136.25976416930024,0.0050013065338134766
73,900,10,5,145.7005379272356,0.02400493621826172
74,900,10,10,144.17558747690066,0.05501222610473633
75,900,25,0,147.0983335951013,0.014003992080688477
76,900,25,5,148.12246901831597,0.059012651443481445
77,900,25,10,153.79626068105446,0.17704010009765625
78,900,50,0,147.09960987572447,0.018004655838012695
79,900,50,5,153.16149129394944,0.17003846168518066
80,900,50,10,155.89413355900678,0.36808228492736816
81,1000,10,0,132.83648899028296,0.004000186920166016
82,1000,10,5,141.407716413833,0.027006149291992188
83,1000,10,10,147.52967354922782,0.04401040077209473
84,1000,25,0,151.2550564438031,0.02500605583190918
85,1000,25,5,148.9443466658732,0.07301568984985352
86,1000,25,10,152.39922703647858,0.1690366268157959
87,1000,50,0,153.0754197844808,0.02800607681274414
88,1000,50,5,153.9107912052388,0.16203570365905762
89,1000,50,10,155.086934030837,0.33707499504089355
