,activation,learning_rate,max_iters,temperatures,decay_rates,max_attempts,clip,y_train_roc,y_test_roc,runtime,loss
0,relu,1,100,10000,0.92,10,10,0.5085714285714287,0.5133333333333333,2.515568256378174,25.165142163997672
1,relu,1,200,10000,0.92,10,10,0.5142857142857142,0.5066666666666667,4.834091663360596,24.80460112832813
2,relu,1,300,10000,0.92,10,10,0.5214285714285715,0.5055555555555556,6.664505243301392,24.476191622489807
3,relu,1,400,10000,0.92,10,10,0.5314285714285715,0.5111111111111112,8.74797511100769,23.999270400291756
4,relu,1,500,10000,0.92,10,10,0.5347619047619048,0.5222222222222223,10.64640498161316,23.790639554590285
5,relu,1,600,10000,0.92,10,10,0.5414285714285715,0.52,12.620849609375,23.561893937900948
6,relu,1,700,10000,0.92,10,10,0.5438095238095237,0.5211111111111111,14.501274585723877,23.498177312115413
7,relu,1,800,10000,0.92,10,10,0.5466666666666666,0.5266666666666666,16.605748891830444,23.337891999762842
8,relu,1,900,10000,0.92,10,10,0.5471428571428572,0.5266666666666666,18.490173816680908,23.265283974857063
9,relu,1,1000,10000,0.92,10,10,0.5480952380952381,0.5244444444444444,20.324589252471924,23.125390721976693
10,relu,1,100,10000,0.92,50,10,0.5085714285714287,0.5133333333333333,2.5075650215148926,25.165142163997672
11,relu,1,200,10000,0.92,50,10,0.5142857142857142,0.5066666666666667,4.833091974258423,24.80460112832813
12,relu,1,300,10000,0.92,50,10,0.5214285714285715,0.5055555555555556,6.792534351348877,24.476191622489807
13,relu,1,400,10000,0.92,50,10,0.5314285714285715,0.5111111111111112,8.777982473373413,23.999270400291756
14,relu,1,500,10000,0.92,50,10,0.5347619047619048,0.5222222222222223,10.68341326713562,23.790639554590285
15,relu,1,600,10000,0.92,50,10,0.5414285714285715,0.52,12.665859699249268,23.561893937900948
16,relu,1,700,10000,0.92,50,10,0.5438095238095237,0.5211111111111111,14.551284551620483,23.498177312115413
17,relu,1,800,10000,0.92,50,10,0.5466666666666666,0.5266666666666666,16.626753568649292,23.337891999762842
18,relu,1,900,10000,0.92,50,10,0.5471428571428572,0.5266666666666666,18.55819010734558,23.265283974857063
19,relu,1,1000,10000,0.92,50,10,0.5480952380952381,0.5244444444444444,20.380600929260254,23.125390721976693
20,relu,1,100,10000,0.92,100,10,0.5085714285714287,0.5133333333333333,2.541574001312256,25.165142163997672
21,relu,1,200,10000,0.92,100,10,0.5142857142857142,0.5066666666666667,4.818087816238403,24.80460112832813
22,relu,1,300,10000,0.92,100,10,0.5214285714285715,0.5055555555555556,6.713516712188721,24.476191622489807
23,relu,1,400,10000,0.92,100,10,0.5314285714285715,0.5111111111111112,8.719970703125,23.999270400291756
24,relu,1,500,10000,0.92,100,10,0.5347619047619048,0.5222222222222223,10.6684091091156,23.790639554590285
25,relu,1,600,10000,0.92,100,10,0.5414285714285715,0.52,12.671862125396729,23.561893937900948
26,relu,1,700,10000,0.92,100,10,0.5438095238095237,0.5211111111111111,14.487271547317505,23.498177312115413
27,relu,1,800,10000,0.92,100,10,0.5466666666666666,0.5266666666666666,16.547736406326294,23.337891999762842
28,relu,1,900,10000,0.92,100,10,0.5471428571428572,0.5266666666666666,18.503178358078003,23.265283974857063
29,relu,1,1000,10000,0.92,100,10,0.5480952380952381,0.5244444444444444,20.41660976409912,23.125390721976693
30,relu,5,100,10000,0.92,10,10,0.49857142857142855,0.49555555555555564,2.5235695838928223,25.92722524705685
31,relu,5,200,10000,0.92,10,10,0.5009523809523809,0.4988888888888889,4.889103651046753,25.79144728449219
32,relu,5,300,10000,0.92,10,10,0.5152380952380953,0.5033333333333333,6.783531665802002,24.9893131345462
33,relu,5,400,10000,0.92,10,10,0.5266666666666666,0.5155555555555557,8.61794638633728,24.368719719561522
34,relu,5,500,10000,0.92,10,10,0.5395238095238095,0.5177777777777778,10.44835877418518,23.735343410121033
35,relu,5,600,10000,0.92,10,10,0.5633333333333334,0.5333333333333333,12.292776346206665,22.42689639937699
36,relu,5,700,10000,0.92,10,10,0.5957142857142858,0.5744444444444445,14.174200296401978,20.801356809116935
37,relu,5,800,10000,0.92,10,10,0.6204761904761904,0.611111111111111,16.06062602996826,19.528611296399152
38,relu,5,900,10000,0.92,10,10,0.6357142857142857,0.6244444444444445,17.87803626060486,18.68238878183719
39,relu,5,1000,10000,0.92,10,10,0.638095238095238,0.6177777777777778,19.63043189048767,18.504946291385753
40,relu,5,100,10000,0.92,50,10,0.49857142857142855,0.49555555555555564,2.529571056365967,25.92722524705685
41,relu,5,200,10000,0.92,50,10,0.5009523809523809,0.4988888888888889,4.889103889465332,25.79144728449219
42,relu,5,300,10000,0.92,50,10,0.5152380952380953,0.5033333333333333,6.771528482437134,24.9893131345462
43,relu,5,400,10000,0.92,50,10,0.5266666666666666,0.5155555555555557,8.593939781188965,24.368719719561522
44,relu,5,500,10000,0.92,50,10,0.5395238095238095,0.5177777777777778,10.409351348876953,23.735343410121033
45,relu,5,600,10000,0.92,50,10,0.5633333333333334,0.5333333333333333,12.271770715713501,22.42689639937699
46,relu,5,700,10000,0.92,50,10,0.5957142857142858,0.5744444444444445,14.177201271057129,20.801356809116935
47,relu,5,800,10000,0.92,50,10,0.6204761904761904,0.611111111111111,16.05862545967102,19.528611296399152
48,relu,5,900,10000,0.92,50,10,0.6357142857142857,0.6244444444444445,17.86303400993347,18.68238878183719
49,relu,5,1000,10000,0.92,50,10,0.638095238095238,0.6177777777777778,19.683444499969482,18.504946291385753
50,relu,5,100,10000,0.92,100,10,0.49857142857142855,0.49555555555555564,2.5305709838867188,25.92722524705685
51,relu,5,200,10000,0.92,100,10,0.5009523809523809,0.4988888888888889,4.88710355758667,25.79144728449219
52,relu,5,300,10000,0.92,100,10,0.5152380952380953,0.5033333333333333,6.820538759231567,24.9893131345462
53,relu,5,400,10000,0.92,100,10,0.5266666666666666,0.5155555555555557,8.620945930480957,24.368719719561522
54,relu,5,500,10000,0.92,100,10,0.5395238095238095,0.5177777777777778,10.47536563873291,23.735343410121033
55,relu,5,600,10000,0.92,100,10,0.5633333333333334,0.5333333333333333,12.270770788192749,22.42689639937699
56,relu,5,700,10000,0.92,100,10,0.5957142857142858,0.5744444444444445,14.216209888458252,20.801356809116935
57,relu,5,800,10000,0.92,100,10,0.6204761904761904,0.611111111111111,16.03762149810791,19.528611296399152
58,relu,5,900,10000,0.92,100,10,0.6357142857142857,0.6244444444444445,17.854031562805176,18.68238878183719
59,relu,5,1000,10000,0.92,100,10,0.638095238095238,0.6177777777777778,19.768463850021362,18.504946291385753
60,relu,10,100,10000,0.92,10,10,0.48714285714285716,0.48333333333333334,2.519568920135498,26.49178955812716
61,relu,10,200,10000,0.92,10,10,0.4952380952380952,0.4888888888888889,4.696059942245483,26.111564341559493
62,relu,10,300,10000,0.92,10,10,0.5123809523809524,0.5055555555555556,6.463459491729736,25.15825792893548
63,relu,10,400,10000,0.92,10,10,0.5376190476190477,0.5344444444444444,8.401897192001343,23.8922840568724
64,relu,10,500,10000,0.92,10,10,0.5514285714285714,0.5322222222222222,10.146291494369507,23.193477401838724
65,relu,10,600,10000,0.92,10,10,0.57,0.5566666666666666,12.000709772109985,22.2134366187968
66,relu,10,700,10000,0.92,10,10,0.5752380952380952,0.5577777777777777,13.790113925933838,21.976072104341668
67,relu,10,800,10000,0.92,10,10,0.5885714285714285,0.5644444444444445,15.668537855148315,21.268776589931594
68,relu,10,900,10000,0.92,10,10,0.5938095238095238,0.5777777777777777,17.50795292854309,20.95907504836971
69,relu,10,1000,10000,0.92,10,10,0.599047619047619,0.58,19.255348205566406,20.752774848259016
70,relu,10,100,10000,0.92,50,10,0.48714285714285716,0.48333333333333334,2.5355730056762695,26.49178955812716
71,relu,10,200,10000,0.92,50,10,0.4952380952380952,0.4888888888888889,4.665053129196167,26.111564341559493
72,relu,10,300,10000,0.92,50,10,0.5123809523809524,0.5055555555555556,6.465459585189819,25.15825792893548
73,relu,10,400,10000,0.92,50,10,0.5376190476190477,0.5344444444444444,8.334882259368896,23.8922840568724
74,relu,10,500,10000,0.92,50,10,0.5514285714285714,0.5322222222222222,10.121285438537598,23.193477401838724
75,relu,10,600,10000,0.92,50,10,0.57,0.5566666666666666,11.905688047409058,22.2134366187968
76,relu,10,700,10000,0.92,50,10,0.5752380952380952,0.5577777777777777,13.823121309280396,21.976072104341668
77,relu,10,800,10000,0.92,50,10,0.5885714285714285,0.5644444444444445,15.686542272567749,21.268776589931594
78,relu,10,900,10000,0.92,50,10,0.5938095238095238,0.5777777777777777,17.47394609451294,20.95907504836971
79,relu,10,1000,10000,0.92,50,10,0.599047619047619,0.58,19.18833303451538,20.752774848259016
80,relu,10,100,10000,0.92,100,10,0.48714285714285716,0.48333333333333334,2.5305705070495605,26.49178955812716
81,relu,10,200,10000,0.92,100,10,0.4952380952380952,0.4888888888888889,4.674055337905884,26.111564341559493
82,relu,10,300,10000,0.92,100,10,0.5123809523809524,0.5055555555555556,6.459458827972412,25.15825792893548
83,relu,10,400,10000,0.92,100,10,0.5376190476190477,0.5344444444444444,8.358887195587158,23.8922840568724
84,relu,10,500,10000,0.92,100,10,0.5514285714285714,0.5322222222222222,10.222308158874512,23.193477401838724
85,relu,10,600,10000,0.92,100,10,0.57,0.5566666666666666,11.952698230743408,22.2134366187968
86,relu,10,700,10000,0.92,100,10,0.5752380952380952,0.5577777777777777,13.840125560760498,21.976072104341668
87,relu,10,800,10000,0.92,100,10,0.5885714285714285,0.5644444444444445,15.675539255142212,21.268776589931594
88,relu,10,900,10000,0.92,100,10,0.5938095238095238,0.5777777777777777,17.5029513835907,20.95907504836971
89,relu,10,1000,10000,0.92,100,10,0.599047619047619,0.58,19.22234082221985,20.752774848259016
